,Fecha,Institución Financiera,Tipo,Subtipo,Valor,Tipo de moneda
170,6-2008,Banco Bice,Depósito,Depósitos a plazo,148.0,Dolar
171,7-2008,Banco Bice,Depósito,Depósitos a plazo,197.0,Dolar
172,8-2008,Banco Bice,Depósito,Depósitos a plazo,227.0,Dolar
173,9-2008,Banco Bice,Depósito,Depósitos a plazo,208.0,Dolar
174,10-2008,Banco Bice,Depósito,Depósitos a plazo,209.0,Dolar
175,11-2008,Banco Bice,Depósito,Depósitos a plazo,230.0,Dolar
176,12-2008,Banco Bice,Depósito,Depósitos a plazo,222.0,Dolar
177,1-2009,Banco Bice,Depósito,Depósitos a plazo,261.0,Dolar
178,2-2009,Banco Bice,Depósito,Depósitos a plazo,293.0,Dolar
179,3-2009,Banco Bice,Depósito,Depósitos a plazo,299.0,Dolar
180,4-2009,Banco Bice,Depósito,Depósitos a plazo,228.0,Dolar
181,5-2009,Banco Bice,Depósito,Depósitos a plazo,224.0,Dolar
182,6-2009,Banco Bice,Depósito,Depósitos a plazo,161.0,Dolar
183,7-2009,Banco Bice,Depósito,Depósitos a plazo,205.0,Dolar
184,8-2009,Banco Bice,Depósito,Depósitos a plazo,300.0,Dolar
185,9-2009,Banco Bice,Depósito,Depósitos a plazo,275.0,Dolar
186,10-2009,Banco Bice,Depósito,Depósitos a plazo,214.0,Dolar
187,11-2009,Banco Bice,Depósito,Depósitos a plazo,263.0,Dolar
188,12-2009,Banco Bice,Depósito,Depósitos a plazo,129.0,Dolar
189,1-2010,Banco Bice,Depósito,Depósitos a plazo,199.0,Dolar
190,2-2010,Banco Bice,Depósito,Depósitos a plazo,228.0,Dolar
191,3-2010,Banco Bice,Depósito,Depósitos a plazo,257.0,Dolar
192,4-2010,Banco Bice,Depósito,Depósitos a plazo,188.0,Dolar
193,5-2010,Banco Bice,Depósito,Depósitos a plazo,259.0,Dolar
194,6-2010,Banco Bice,Depósito,Depósitos a plazo,192.0,Dolar
195,7-2010,Banco Bice,Depósito,Depósitos a plazo,176.0,Dolar
196,8-2010,Banco Bice,Depósito,Depósitos a plazo,160.0,Dolar
197,9-2010,Banco Bice,Depósito,Depósitos a plazo,207.0,Dolar
198,10-2010,Banco Bice,Depósito,Depósitos a plazo,201.0,Dolar
199,11-2010,Banco Bice,Depósito,Depósitos a plazo,214.0,Dolar
200,12-2010,Banco Bice,Depósito,Depósitos a plazo,128.0,Dolar
201,1-2011,Banco Bice,Depósito,Depósitos a plazo,196.0,Dolar
202,2-2011,Banco Bice,Depósito,Depósitos a plazo,282.0,Dolar
203,3-2011,Banco Bice,Depósito,Depósitos a plazo,231.0,Dolar
204,4-2011,Banco Bice,Depósito,Depósitos a plazo,228.0,Dolar
205,5-2011,Banco Bice,Depósito,Depósitos a plazo,178.0,Dolar
206,6-2011,Banco Bice,Depósito,Depósitos a plazo,158.0,Dolar
207,7-2011,Banco Bice,Depósito,Depósitos a plazo,273.0,Dolar
208,8-2011,Banco Bice,Depósito,Depósitos a plazo,352.0,Dolar
209,9-2011,Banco Bice,Depósito,Depósitos a plazo,309.0,Dolar
210,10-2011,Banco Bice,Depósito,Depósitos a plazo,305.0,Dolar
211,11-2011,Banco Bice,Depósito,Depósitos a plazo,327.0,Dolar
212,12-2011,Banco Bice,Depósito,Depósitos a plazo,350.0,Dolar
213,1-2012,Banco Bice,Depósito,Depósitos a plazo,401.0,Dolar
214,2-2012,Banco Bice,Depósito,Depósitos a plazo,461.0,Dolar
215,3-2012,Banco Bice,Depósito,Depósitos a plazo,490.0,Dolar
216,4-2012,Banco Bice,Depósito,Depósitos a plazo,518.0,Dolar
217,5-2012,Banco Bice,Depósito,Depósitos a plazo,476.0,Dolar
218,6-2012,Banco Bice,Depósito,Depósitos a plazo,428.0,Dolar
219,7-2012,Banco Bice,Depósito,Depósitos a plazo,475.0,Dolar
220,8-2012,Banco Bice,Depósito,Depósitos a plazo,370.0,Dolar
221,9-2012,Banco Bice,Depósito,Depósitos a plazo,489.0,Dolar
222,10-2012,Banco Bice,Depósito,Depósitos a plazo,544.0,Dolar
223,11-2012,Banco Bice,Depósito,Depósitos a plazo,546.0,Dolar
224,12-2012,Banco Bice,Depósito,Depósitos a plazo,493.0,Dolar
225,1-2013,Banco Bice,Depósito,Depósitos a plazo,478.0,Dolar
226,2-2013,Banco Bice,Depósito,Depósitos a plazo,447.0,Dolar
227,3-2013,Banco Bice,Depósito,Depósitos a plazo,458.0,Dolar
228,4-2013,Banco Bice,Depósito,Depósitos a plazo,480.0,Dolar
229,5-2013,Banco Bice,Depósito,Depósitos a plazo,448.0,Dolar
230,6-2013,Banco Bice,Depósito,Depósitos a plazo,447.0,Dolar
231,7-2013,Banco Bice,Depósito,Depósitos a plazo,412.0,Dolar
232,8-2013,Banco Bice,Depósito,Depósitos a plazo,345.0,Dolar
233,9-2013,Banco Bice,Depósito,Depósitos a plazo,365.0,Dolar
234,10-2013,Banco Bice,Depósito,Depósitos a plazo,409.0,Dolar
235,11-2013,Banco Bice,Depósito,Depósitos a plazo,445.0,Dolar
236,12-2013,Banco Bice,Depósito,Depósitos a plazo,402.0,Dolar
237,1-2014,Banco Bice,Depósito,Depósitos a plazo,390.0,Dolar
238,2-2014,Banco Bice,Depósito,Depósitos a plazo,472.0,Dolar
239,3-2014,Banco Bice,Depósito,Depósitos a plazo,538.0,Dolar
240,4-2014,Banco Bice,Depósito,Depósitos a plazo,573.0,Dolar
241,5-2014,Banco Bice,Depósito,Depósitos a plazo,582.0,Dolar
242,6-2014,Banco Bice,Depósito,Depósitos a plazo,502.0,Dolar
243,7-2014,Banco Bice,Depósito,Depósitos a plazo,459.0,Dolar
